Timestamp | Frame | ClassID | ClassName | Confidence | BBox Coordinates (xmin,ymin,xmax,ymax)
0:00:16    | 1013   | 2        | car        | 0.6658 | [0.5,536.0,456.8,1096.7]
0:00:16    | 1014   | 2        | car        | 0.8641 | [666.6,428.9,1595.9,1260.5]
0:00:16    | 1014   | 2        | car        | 0.7137 | [0.0,540.0,461.0,1105.4]
0:00:16    | 1015   | 2        | car        | 0.8664 | [667.0,431.9,1593.4,1255.0]
0:00:16    | 1015   | 2        | car        | 0.6942 | [0.0,546.5,464.7,1107.9]
0:00:16    | 1015   | 7        | truck      | 0.4111 | [1269.6,252.7,1381.6,370.1]
0:00:16    | 1016   | 2        | car        | 0.8691 | [667.3,433.3,1591.6,1259.0]
0:00:16    | 1016   | 2        | car        | 0.6411 | [0.0,557.2,461.7,1113.5]
0:00:16    | 1017   | 2        | car        | 0.8516 | [667.0,431.5,1589.8,1257.6]
0:00:16    | 1017   | 2        | car        | 0.7831 | [0.0,556.9,460.2,1112.5]
0:00:16    | 1018   | 2        | car        | 0.8602 | [665.9,430.2,1590.8,1260.1]
0:00:16    | 1018   | 2        | car        | 0.7034 | [0.0,552.0,458.2,1050.4]
0:00:16    | 1019   | 2        | car        | 0.8445 | [666.0,430.0,1599.1,1260.8]
0:00:17    | 1020   | 2        | car        | 0.8576 | [665.4,431.7,1598.3,1260.6]
0:00:17    | 1020   | 2        | car        | 0.5059 | [0.7,565.9,448.8,1016.3]
0:00:17    | 1021   | 2        | car        | 0.8599 | [664.9,430.8,1597.9,1260.9]
0:00:17    | 1021   | 2        | car        | 0.6717 | [0.0,571.2,449.1,1018.0]
0:00:17    | 1022   | 2        | car        | 0.8694 | [666.4,430.5,1596.8,1260.0]
0:00:17    | 1022   | 2        | car        | 0.5774 | [0.0,577.0,442.3,1020.5]
0:00:17    | 1023   | 2        | car        | 0.8541 | [665.2,428.2,1598.3,1256.6]
0:00:17    | 1023   | 2        | car        | 0.6719 | [0.0,580.6,421.6,1018.3]
0:00:17    | 1023   | 2        | car        | 0.4051 | [226.5,368.9,403.5,450.3]
0:00:17    | 1024   | 2        | car        | 0.8538 | [666.2,428.5,1600.4,1254.9]
0:00:17    | 1024   | 2        | car        | 0.5254 | [0.4,586.4,407.6,1018.7]
0:00:17    | 1025   | 2        | car        | 0.8586 | [666.2,428.8,1599.8,1254.3]
0:00:17    | 1025   | 2        | car        | 0.6926 | [2.3,592.5,391.1,1026.5]
0:00:17    | 1025   | 2        | car        | 0.4162 | [226.5,370.1,402.1,450.0]
0:00:17    | 1025   | 7        | truck      | 0.4121 | [1267.2,240.2,1383.0,377.9]
0:00:17    | 1026   | 2        | car        | 0.8539 | [666.6,430.0,1605.6,1255.0]
0:00:17    | 1026   | 2        | car        | 0.7557 | [0.0,587.4,380.9,1015.4]
0:00:17    | 1026   | 2        | car        | 0.4279 | [226.2,369.6,402.9,450.2]
0:00:17    | 1027   | 2        | car        | 0.8493 | [667.0,430.4,1611.6,1257.8]
0:00:17    | 1027   | 2        | car        | 0.7718 | [0.5,597.7,370.9,1016.7]
0:00:17    | 1027   | 2        | car        | 0.4910 | [226.6,369.2,403.3,450.5]
0:00:17    | 1028   | 2        | car        | 0.8580 | [666.4,431.1,1603.8,1259.4]
0:00:17    | 1028   | 2        | car        | 0.7001 | [0.0,603.5,369.5,1019.6]
0:00:17    | 1028   | 2        | car        | 0.4700 | [226.2,369.3,403.8,450.7]
0:00:17    | 1029   | 2        | car        | 0.8565 | [666.3,431.9,1606.8,1258.5]
0:00:17    | 1029   | 2        | car        | 0.7053 | [0.0,614.1,367.6,1011.0]
0:00:17    | 1029   | 2        | car        | 0.4615 | [226.4,369.5,403.8,450.5]
0:00:17    | 1030   | 2        | car        | 0.8589 | [666.6,432.8,1611.3,1258.2]
0:00:17    | 1030   | 2        | car        | 0.6165 | [0.0,621.8,346.7,1009.7]
0:00:17    | 1030   | 2        | car        | 0.4975 | [226.9,368.9,403.6,450.3]
0:00:17    | 1031   | 2        | car        | 0.8492 | [668.1,433.5,1607.4,1255.6]
